species,n_images,toxicity_strength_0_1,mean_normalised_boldness,predicted_mean_normalised_boldness,residual,absolute_residual,leverage,internally_studentised_residual,absolute_studentised_residual,cooks_distance,formal_outlier_abs_studentised_residual_gt_2,residual_rank,selected_for_collage,selection_reason
Dendrodoris nigra,10,0.0,-1.1710094943162106,-0.22145510009510955,-0.9495543942211011,0.9495543942211011,0.06025083518119401,-2.221774453523178,2.221774453523178,0.15824174556052026,True,1,True,Formal residual outlier: absolute internally studentised residual > 2
Notodoris (=Aegires) gardineri,10,0.0,0.4507149358804973,-0.22145510009510955,0.6721700359756069,0.6721700359756069,0.06025083518119401,1.5727484633246007,1.5727484633246007,0.07929387947184026,False,2,True,Among the four largest absolute internally studentised residuals
Phyllidia varicosa,10,0.525,0.869643049680123,0.20217394063807032,0.6674691090420526,0.6674691090420526,0.05209349841925027,1.5550147582974438,1.5550147582974438,0.06644419693280522,False,3,True,Among the four largest absolute internally studentised residuals
Phyllidiella pustulosa,10,0.4233333333333333,-0.5033557330382129,0.12013784068656558,-0.6234935737247784,0.6234935737247784,0.04185868904304071,-1.4447852327391053,1.4447852327391053,0.045596619923915824,False,4,True,Among the four largest absolute internally studentised residuals
