species,species_original,family,authority,body_part,chemical_defence_class,unpalatability_ps_ed50,unpalatability_tf_ed50,unpalatability_trf_ed50,toxicity_bs_ld50,toxicity_df_wm,number_of_individuals,collection_location,coordinates,source_dataset,chemical_defence_class_raw,chemical_defence_class_status,unpalatability_ps_ed50_raw,unpalatability_ps_ed50_status,unpalatability_ps_ed50_exact_values,unpalatability_ps_ed50_exact_n,unpalatability_ps_ed50_exact_mean,unpalatability_ps_ed50_gt_thresholds,unpalatability_ps_ed50_lt_thresholds,unpalatability_ps_ed50_has_nr,unpalatability_ps_ed50_has_inconclusive,unpalatability_ps_ed50_unparsed_components,unpalatability_tf_ed50_raw,unpalatability_tf_ed50_status,unpalatability_tf_ed50_exact_values,unpalatability_tf_ed50_exact_n,unpalatability_tf_ed50_exact_mean,unpalatability_tf_ed50_gt_thresholds,unpalatability_tf_ed50_lt_thresholds,unpalatability_tf_ed50_has_nr,unpalatability_tf_ed50_has_inconclusive,unpalatability_tf_ed50_unparsed_components,unpalatability_trf_ed50_raw,unpalatability_trf_ed50_status,unpalatability_trf_ed50_exact_values,unpalatability_trf_ed50_exact_n,unpalatability_trf_ed50_exact_mean,unpalatability_trf_ed50_gt_thresholds,unpalatability_trf_ed50_lt_thresholds,unpalatability_trf_ed50_has_nr,unpalatability_trf_ed50_has_inconclusive,unpalatability_trf_ed50_unparsed_components,toxicity_bs_ld50_raw,toxicity_bs_ld50_status,toxicity_bs_ld50_exact_values,toxicity_bs_ld50_exact_n,toxicity_bs_ld50_exact_mean,toxicity_bs_ld50_gt_thresholds,toxicity_bs_ld50_lt_thresholds,toxicity_bs_ld50_has_nr,toxicity_bs_ld50_has_inconclusive,toxicity_bs_ld50_unparsed_components,toxicity_df_wm_raw,toxicity_df_wm_status,toxicity_df_wm_exact_values,toxicity_df_wm_exact_n,toxicity_df_wm_exact_mean,toxicity_df_wm_gt_thresholds,toxicity_df_wm_lt_thresholds,toxicity_df_wm_has_nr,toxicity_df_wm_has_inconclusive,toxicity_df_wm_unparsed_components
Doriprismatica atromarginata,Doriprismatica atromarginata; Doriprismatica atromarginata (2),Chromodorididae,"Cuvier, 1804",WB,I&II,0.15; 0.37,0.07,0.2; 0.54,0.07,,84.0,"Mackay, NE QLD (1)
Mooloolaba, SE QLD (24)
North Stradbroke Island, SE QLD (15)
Coffs Harbour, NE NSW (7)
Nelson Bay, NSW (1); Mooloolaba, SE QLD","21o39’S; 150o16’E
26o40’S; 153°07’E
27°41’S; 153°53’E
30°18’S; 153°09’E
32°72’S; 152°15’E; 26o40’S; 153o07’E",chemical_defence_modes_Table_S1_species_summary,I&II,simple,0.15; 0.37,measured_multiple,0.15; 0.37,2,0.26,,,False,False,,0.07,measured,0.07,1,0.07,,,False,False,,0.2; 0.54,measured_multiple,0.2; 0.54,2,0.37,,,False,False,,0.07,measured,0.07,1,0.07,,,False,False,,,missing,,0,,,,False,False,
Glossodoris hikuerensis,Glossodoris hikuerensis,Chromodorididae,"Pruvot-Fol, 1954",WB,WR,nr,>1,,nr,,1.0,"Lizard Island, GBR",14o40’S; 145o28’E,chemical_defence_modes_Table_S1_species_summary,WR,simple,nr,nr,,0,,,,True,False,,>1,greater_than,,0,,1,,False,False,,,missing,,0,,,,False,False,,nr,nr,,0,,,,True,False,,,missing,,0,,,,False,False,
Goniobranchus collingwoodi,Goniobranchus collingwoodi,Chromodorididae,"Rudman, 1987",WB,II / WR,0.09,1.12,,nr,,1.0,"GBR, supplied by Cairns Marine Ltd. Stratford, QLD",,chemical_defence_modes_Table_S1_species_summary,II / WR,mixed_or_uncertain,0.09,measured,0.09,1,0.09,,,False,False,,1.12,measured,1.12,1,1.12,,,False,False,,,missing,,0,,,,False,False,,nr,nr,,0,,,,True,False,,,missing,,0,,,,False,False,
Goniobranchus daphne,Goniobranchus daphne,Chromodorididae,"Angas, 1864",WB,II,0.43,,,> 0.5,,8.0,"Cleveland Point, SE QLD",27o30’S; 153o17’E,chemical_defence_modes_Table_S1_species_summary,II,simple,0.43,measured,0.43,1,0.43,,,False,False,,,missing,,0,,,,False,False,,,missing,,0,,,,False,False,,> 0.5,greater_than,,0,,0.5,,False,False,,,missing,,0,,,,False,False,
Goniobranchus splendidus,Goniobranchus splendidus (1); Goniobranchus splendidus (2); Goniobranchus splendidus (3),Chromodorididae,"Angas, 1864",M; WB,II,0.18; 0.25,,0.44,0.52; nr,3,81.0,"Coffs Harbour, NSW; Mooloolaba, SE QLD; North Stradbroke Island, SE QLD",26o40’S; 153o07’E; 27o41’S; 153o53’E; 30o18’S; 153o09’E,chemical_defence_modes_Table_S1_species_summary,II,simple,0.18; 0.25,measured_multiple,0.18; 0.25,2,0.215,,,False,False,,,missing,,0,,,,False,False,,0.44,measured,0.44,1,0.44,,,False,False,,0.52; nr,measured_plus_nr,0.52,1,0.52,,,True,False,,3,measured,3,1,3.0,,,False,False,
Goniobranchus tasmaniensis,Goniobranchus tasmaniensis,Chromodorididae,"Bergh, 1905",WB,II,< 0.25,,,0.86,,5.0,"Sydney, NSW",34o04’S; 151o09’E,chemical_defence_modes_Table_S1_species_summary,II,simple,< 0.25,less_than,,0,,,0.25,False,False,,,missing,,0,,,,False,False,,,missing,,0,,,,False,False,,0.86,measured,0.86,1,0.86,,,False,False,,,missing,,0,,,,False,False,
Goniobranchus tinctorius,Goniobranchus tinctorius (1); Goniobranchus tinctorius (2),Chromodorididae,"Rüppell & Leuckart, 1830",M; WB,II,0.15,,,0.86; nr,,6.0,"Mackay, NE QLD; Mooloolaba, SE QLD",21o39’S; 150o16’E; 26o40’S; 153o07’E,chemical_defence_modes_Table_S1_species_summary,II,simple,0.15,measured,0.15,1,0.15,,,False,False,,,missing,,0,,,,False,False,,,missing,,0,,,,False,False,,0.86; nr,measured_plus_nr,0.86,1,0.86,,,True,False,,,missing,,0,,,,False,False,
Halgerda aurantiomaculata,Halgerda aurantiomaculata,Discodorididae,"Allan, 1932",WB,NR,nr,,,nr,,3.0,"GBR, supplied by Cairns Marine Ltd.",,chemical_defence_modes_Table_S1_species_summary,NR,simple,nr,nr,,0,,,,True,False,,,missing,,0,,,,False,False,,,missing,,0,,,,False,False,,nr,nr,,0,,,,True,False,,,missing,,0,,,,False,False,
Hypselodoris bennetti,Hypselodoris bennetti,Chromodorididae,"Angas, 1864",WB,I&II,0.27,,,0.12,,26.0,"Coffs Harbour, NE NSW",30o18’S; 153o09’E,chemical_defence_modes_Table_S1_species_summary,I&II,simple,0.27,measured,0.27,1,0.27,,,False,False,,,missing,,0,,,,False,False,,,missing,,0,,,,False,False,,0.12,measured,0.12,1,0.12,,,False,False,,,missing,,0,,,,False,False,
Hypselodoris obscura,Hypselodoris obscura; Hypselodoris obscura (2),Chromodorididae,"Stimpson, 1855",WB,I,>1,>1,> 1,0.35,,23.0,"Cleveland Point, SE QLD (1)
Gold Coast, SE QLD (1)
Mooloolaba, SE QLD (5)
North Stradbroke Island, SE QLD (3); Gold Coast, SE QLD (9)
North Stradbroke Island, SE QLD (3)
Mooloolaba, SE QLD (1)","27°30’S; 153°17’E
27°56’S; 153°25’E
26°40’S; 153°07’E
27°41’S; 153°53’E; 27°56’S; 153°25’E
27°41’S; 153°53’E
26°40’S; 153°07’E",chemical_defence_modes_Table_S1_species_summary,I,simple,>1,greater_than,,0,,1,,False,False,,>1,greater_than,,0,,1,,False,False,,> 1,greater_than,,0,,1,,False,False,,0.35,measured,0.35,1,0.35,,,False,False,,,missing,,0,,,,False,False,
