 ,Label,Area,Mean,StdDev,Min,Max,Median
1,Doriprismatica_atromarginata_img03.jpg:nudibranch,74671,169.487,77.679,0,255,205
2,Doriprismatica_atromarginata_img03.jpg:background,57514,65.404,20.770,13,244,63
3,Doriprismatica_atromarginata_img03.jpg (blue):nudibranch,74671,163.439,76.918,0,255,196
4,Doriprismatica_atromarginata_img03.jpg (blue):background,57514,33.781,19.649,0,248,30
5,Doriprismatica_atromarginata_img03.jpg (green):nudibranch,74671,171.155,79.229,0,255,207
6,Doriprismatica_atromarginata_img03.jpg (green):background,57514,64.326,21.453,11,237,62
7,Doriprismatica_atromarginata_img03.jpg (red):nudibranch,74671,173.912,78.855,0,255,211
8,Doriprismatica_atromarginata_img03.jpg (red):background,57514,98.092,23.247,26,255,96
9,Doriprismatica_atromarginata_img03.jpg:nudibranch:Saturation,74671,47.169,53.265,0,255,25
10,Doriprismatica_atromarginata_img03.jpg:background:Saturation,57514,171.734,33.451,5,255,174
11,Doriprismatica_atromarginata_img03.jpg:nudibranch:Brightness,74671,179.546,77.239,0,255,214
12,Doriprismatica_atromarginata_img03.jpg:background:Brightness,57514,98.104,23.262,26,255,96
