species,image_id,animal_gray_sd,animal_saturation_sd,animal_edge_density,animal_luminance_edge_cv,animal_chromatic_edge_mean,animal_chromatic_edge_cv,gray_contrast_abs,saturation_contrast_abs,lab_colour_distance,luminance_edge_cv_difference,chromatic_edge_cv_difference,gray_sd_difference,saturation_sd_difference,edge_density_difference,chromatic_edge_mean_difference
Aphelodoris varia,Aphelodoris_varia_img01,52.04458815656526,52.32136363325622,0.1480383772253187,1.091298294133145,38.7042121887207,0.9975600421719646,83.47556430284564,57.28321455280077,32.9744917128101,0.2247821011579844,0.1447317282091026,9.600525362047229,6.714225684046831,0.003661023020401194,2.2196311950683665
Aphelodoris varia,Aphelodoris_varia_img02,60.25616193865617,54.810727789680335,0.2274517485256979,0.9341480637002854,33.77824401855469,0.722648169956873,61.94752616327392,57.98517598923712,24.66906881898204,0.1029286498317668,0.0319019455994733,4.182401302431408,2.6401764418769744,0.004326897115607714,3.4183216094970703
Aphelodoris varia,Aphelodoris_varia_img03,48.91092808274412,62.87451445867583,0.0146199141758861,1.2331532754551218,13.873527526855469,1.1195512092567714,64.81287823761227,3.756101475366478,30.035155295748936,0.2413771472845077,0.1826786625009906,12.997612082126231,0.5097061244704406,0.05261976101161749,12.872760772705078
Aphelodoris varia,Aphelodoris_varia_img05,71.32727356645061,60.22475953457809,0.1661555631522853,1.0610703495191371,23.0527458190918,0.7036644366445981,22.99056322984974,10.867202763613877,9.347835208032311,0.0491548634598864,0.0658880249948968,16.572082221274158,20.038578275298008,0.140776600655336,10.177690505981449
Aphelodoris varia,Aphelodoris_varia_img06,57.44587103396604,50.12337627407256,0.0274085591640898,0.9965487474371928,22.297468185424805,1.1336062947941006,80.34375300402928,4.922341778452136,35.455507359366564,0.1132648079939636,0.2999472273567116,22.121787864744853,1.9612207770282808,0.024854504582876597,3.308673858642578
Aphelodoris varia,Aphelodoris_varia_img07,52.00037696959473,63.23044968679226,0.0292467512906977,1.2223581985086278,8.259892463684082,0.71982127033151,62.987451194166894,0.5171781455982511,28.43495657967854,0.3161031793967886,0.1391952077241834,24.388826115329117,36.170033285446294,0.018455030439380397,1.101606845855713
Aphelodoris varia,Aphelodoris_varia_img08,52.22248969358811,43.78801692813672,0.0564281585943821,1.2787263377283555,18.811595916748047,0.7202695328477189,54.78075713947166,9.15790531297904,21.477192825870205,0.442946397066565,0.2140600863483932,12.281626844904729,10.45776891811748,0.017404053203839802,4.993223190307617
Aphelodoris varia,Aphelodoris_varia_img09,65.20721262252748,65.32157611893523,0.1200490476806266,0.9003387481355231,20.79732894897461,0.630351831794266,30.39859439561519,6.534368626217969,14.47553594521906,0.2237718419108746,0.1391603574775677,20.626583201501326,16.664739004562286,0.06807682940916221,8.073974609375
Ardeadoris egretta,Ardeadoris_egretta_img01,27.08839105750742,36.21545361722426,0.0071189752741977,1.2431739850252264,10.842933654785156,1.043015785899993,123.32738320845456,25.83587808515749,55.7550132255694,0.2330965018835364,0.48586804463479,2.1594129775814395,16.08656780502718,0.09253132682006049,2.9563779830932617
Ardeadoris egretta,Ardeadoris_egretta_img10,28.722967398014628,58.12647699412318,0.0054826822968775,1.2936665969168526,13.066064834594728,1.0936964673935654,99.25496375457782,130.27305979695367,50.27078910661623,0.3010184897312026,0.3641572445889349,21.548140787076587,6.1653194289043824,0.0785074154424984,14.135902404785154
Ardeadoris egretta,Ardeadoris_egretta_img02,27.61130508019787,35.128725304736605,0.0068752963489805,1.3817057084786633,10.354450225830078,1.4201608336707368,133.97570385132428,21.01927934826313,65.31071263150565,0.0702041445940724,0.3314001699235225,6.266457219698911,28.0933027999698,0.003919886442498599,0.7447061538696289
Ardeadoris egretta,Ardeadoris_egretta_img03,32.91213300743123,65.71632971004128,0.0218808575021803,1.4211284829602304,26.85378646850586,1.1427538997826423,80.50278108708454,46.85446237662418,34.95392281310676,0.4810128473837018,0.5394487310438498,9.220561923307088,13.957544586526318,0.043115430661604004,11.481098175048828
Ardeadoris egretta,Ardeadoris_egretta_img04,34.07925436169742,42.03436025651428,0.0299306636895143,2.033772071724305,13.733491897583008,1.4112820220810092,136.75777618738272,9.467566260558511,60.49280546339202,0.1277600674783325,0.2776196252224074,5.802242309317428,12.589125455678989,0.002305195345760399,5.840034008026123
Ardeadoris egretta,Ardeadoris_egretta_img05,45.47314430059771,46.539276207996544,0.0079387285350285,1.3124278130114118,8.915444374084473,1.808359204627128,129.90992099189947,2.2482947871666283,52.57862557019011,0.2866558684963216,0.8778387619441512,15.475603023355731,23.38382224849668,0.0042374034047983,0.742095947265625
Ardeadoris egretta,Ardeadoris_egretta_img06,24.65406067369744,50.30106685348261,0.0198650367912385,2.412525183982586,10.502944946289062,1.2992762461119158,65.95328188480632,76.6077616499339,29.965322115114716,1.5921116847437533,0.5864116930983403,25.80630986686734,12.182167591461756,0.23951328483269532,11.809658050537106
Ardeadoris egretta,Ardeadoris_egretta_img07,47.20877900797202,58.053228676503714,0.0232349463100409,1.2960465954389726,18.243770599365234,1.5388228320155066,109.00000500435527,2.0957821758486546,47.95453421064614,0.0968126093557473,0.5656509795656048,11.390983198500074,15.314795053935804,0.004854696541914703,2.7651329040527344
Ardeadoris egretta,Ardeadoris_egretta_img08,26.60094768862805,59.57375651757009,0.0076486568632673,2.2578911051734125,10.898921966552734,1.996842238265758,120.29807353823357,5.821483709486572,52.01422041629238,0.4566545102526178,0.2680799175419195,19.613179480524888,14.703215512891006,0.027354022126753398,0.23004341125488104
Ardeadoris egretta,Ardeadoris_egretta_img09,26.58950441277251,40.90457120953712,0.0113699475470533,1.5631005898875503,10.647422790527344,1.998703942951277,83.6952730089533,25.79825023545736,35.78180492049955,0.7384715526746215,1.1338805892761323,20.234998854299707,6.385638663227333,0.1152447074934851,20.528793334960938
Ardeadoris rubroannulata,Ardeadoris_rubroannulata_img01,44.11099508169477,66.90161523570433,0.0438731733476337,1.347817968914796,26.910131454467773,1.135704888749526,91.7018883556625,10.07253674346751,49.75681773115578,0.0738055370515136,0.1097065535722898,10.575095871438151,7.166045824730219,0.0296997277941138,13.88951587677002
Ardeadoris rubroannulata,Ardeadoris_rubroannulata_img10,46.33271583131466,71.76295564137298,0.0589862498479655,1.489371717125777,33.81098556518555,1.2772945705499288,97.0467941917065,34.86269811088263,42.91544577266938,0.4845201445263507,0.3170703262883828,18.36389879522293,20.222252379442182,0.012421069699701498,8.518512725830078
Ardeadoris rubroannulata,Ardeadoris_rubroannulata_img02,43.53302498209972,65.13730820019282,0.0806819488634185,1.3034370221270637,45.12492752075195,1.2900938007033256,86.65535860510222,102.1589752926332,50.069639581117,0.3064953575672291,0.2129115399198087,13.185421966388688,23.25548564099823,0.03471979487657321,29.308051109313965
Ardeadoris rubroannulata,Ardeadoris_rubroannulata_img03,47.53618635338089,63.14519669368792,0.0523870579258005,1.326510535130882,28.279521942138672,1.2084484023122204,93.32405459405652,0.0840777250197959,56.38832909699963,0.1814744851946041,0.0003328705704788,26.52041826997111,8.254244159655087,0.0402934236534694,15.460043907165527
Ardeadoris rubroannulata,Ardeadoris_rubroannulata_img04,51.76636668548565,58.4030955420785,0.0552813175940403,1.544274243623066,28.53943252563477,1.30860993223097,99.86358178519092,48.7197488654233,52.66180692187967,0.108740545062413,0.2320951927356678,14.38781406314461,19.619955162034074,0.0266312694966696,15.845780372619632
Ardeadoris rubroannulata,Ardeadoris_rubroannulata_img05,45.69201654071435,48.76484143201464,0.043346154672626,1.32543494686374,21.251201629638672,1.290533354275585,74.76330678619553,67.36358459724096,52.308144656055006,0.0106242774598639,0.0127194941554771,17.52414515078554,7.477743305646946,0.0366669738661222,12.749032020568848
