species,image_id,segmentation_method,background_ring_width_pixels,animal_area_pixels,background_ring_area_pixels,animal_gray_mean,background_gray_mean,gray_contrast,animal_red_mean,background_red_mean,red_contrast,animal_green_mean,background_green_mean,green_contrast,animal_blue_mean,background_blue_mean,blue_contrast,animal_saturation_mean,background_saturation_mean,saturation_contrast,animal_brightness_mean,background_brightness_mean,brightness_contrast,animal_l_mean,background_l_mean,l_contrast,animal_a_mean,background_a_mean,a_contrast,animal_b_mean,background_b_mean,b_contrast,lab_colour_distance,animal_brightness_sd,animal_saturation_sd,animal_gray_sd,background_brightness_sd,background_saturation_sd,background_gray_sd,animal_edge_density,notes
Aphelodoris varia,Aphelodoris_varia_img01,sam_pale_score,80,208803,181700,168.054,83.111,84.944,198.884,114.213,84.671,159.183,73.24,85.944,132.77,52.284,80.486,95.448,150.872,-55.424,199.914,114.94,84.974,174.112,88.7,85.412,140.111,143.297,-3.186,148.031,147.296,0.735,85.474,44.655,52.32,52.046,49.673,45.153,41.754,0.172,SAM pale-score segmentation; background ring generated by mask dilation
Aphelodoris varia,Aphelodoris_varia_img02,sam_pale_score,80,147074,146383,149.883,89.568,60.315,171.905,109.163,62.742,146.724,87.66,59.064,108.321,47.959,60.362,107.361,164.763,-57.402,172.383,109.405,62.978,156.773,95.826,60.947,132.728,131.699,1.03,152.073,153.291,-1.217,60.968,58.247,54.814,60.259,61.325,50.517,54.767,0.251,SAM pale-score segmentation; background ring generated by mask dilation
Doriprismatica atromarginata,Doriprismatica_atromarginata_img01,sam_pale_score,80,197996,196982,180.979,75.004,105.975,191.439,94.482,96.957,180.272,70.987,109.285,157.134,44.58,112.554,56.115,151.108,-94.993,192.401,94.781,97.62,186.536,79.039,107.497,128.635,134.564,-5.929,141.607,146.308,-4.701,107.763,53.263,41.617,56.993,61.773,48.431,53.932,0.068,SAM pale-score segmentation; background ring generated by mask dilation
Doriprismatica atromarginata,Doriprismatica_atromarginata_img02,sam_pale_score,80,80008,144801,150.302,51.364,98.939,146.22,70.435,75.785,149.991,41.794,108.197,162.599,50.589,112.01,54.166,167.112,-112.946,168.774,82.99,85.784,156.687,54.589,102.098,130.299,144.417,-14.119,121.37,128.991,-7.621,103.351,59.014,44.987,59.261,64.025,57.365,47.986,0.126,SAM pale-score segmentation; background ring generated by mask dilation
Doriprismatica atromarginata,Doriprismatica_atromarginata_img03,sam_pale_score,80,72676,130114,175.786,61.177,114.609,178.64,93.425,85.214,175.803,50.528,125.275,168.128,31.369,136.76,43.844,178.383,-134.538,184.208,93.679,90.529,179.728,66.78,112.948,128.078,144.804,-16.726,132.283,148.259,-15.975,115.291,74.06,49.028,75.193,39.162,41.381,29.052,0.088,SAM pale-score segmentation; background ring generated by mask dilation
