species,image_id,scaled_image_path,animal_mask_path,background_ring_path,scaled_width,scaled_height,animal_area_pixels,background_ring_area_pixels,scaled_image_area_pixels,animal_area_fraction,background_ring_area_fraction,animal_red_mean,background_red_mean,red_contrast,animal_green_mean,background_green_mean,green_contrast,animal_blue_mean,background_blue_mean,blue_contrast,animal_gray_mean,background_gray_mean,gray_contrast,gray_contrast_abs,animal_saturation_mean,background_saturation_mean,saturation_contrast,saturation_contrast_abs,animal_brightness_mean,background_brightness_mean,brightness_contrast,brightness_contrast_abs,animal_lab_l_mean,background_lab_l_mean,lab_l_contrast,animal_lab_a_mean,background_lab_a_mean,lab_a_contrast,animal_lab_b_mean,background_lab_b_mean,lab_b_contrast,lab_colour_distance,animal_red_sd,animal_green_sd,animal_blue_sd,animal_gray_sd,animal_saturation_sd,animal_brightness_sd,background_gray_sd,background_saturation_sd,background_brightness_sd,animal_edge_density,background_edge_density,animal_luminance_edge_mean,animal_luminance_edge_sd,animal_luminance_edge_cv,background_luminance_edge_mean,background_luminance_edge_sd,background_luminance_edge_cv,luminance_edge_cv_difference,animal_chromatic_edge_mean,animal_chromatic_edge_sd,animal_chromatic_edge_cv,background_chromatic_edge_mean,background_chromatic_edge_sd,background_chromatic_edge_cv,chromatic_edge_cv_difference
Aphelodoris varia,Aphelodoris_varia_img01,processed_data/automated_image_analysis/scaled_images/sam_scaled_ring120/Aphelodoris_varia/Aphelodoris_varia_img01_sam_scaled_ring120_scaled_image.png,processed_data/automated_image_analysis/masks/sam_scaled_ring120/Aphelodoris_varia/Aphelodoris_varia_img01_sam_scaled_ring120_animal_mask.png,processed_data/automated_image_analysis/background_rings/sam_scaled_ring120/Aphelodoris_varia/Aphelodoris_varia_img01_sam_scaled_ring120_background_ring120.png,786,534,123085,214049,419724,0.2932522324193994,0.5099756030153149,198.7065767559004,121.21228784063462,77.49428891526577,158.8907746679124,78.36510331746469,80.52567135044772,132.39604338465287,54.00827380646488,78.387769578188,167.7777633342812,88.39981966745933,79.37794366682186,79.37794366682186,94.77080879067312,152.3082985671505,-57.537489776477386,57.537489776477386,199.46076288743552,121.61713906628856,77.84362382114696,77.84362382114696,68.03388214111328,36.916053771972656,31.117828369140625,12.082114219665527,15.460366249084473,-3.3782520294189453,20.062639236450195,21.2381649017334,-1.1755256652832031,31.322734391737033,44.029342504632375,54.544498122698734,59.56103217872654,50.94289619537593,51.162998416855594,43.673554955841716,43.96096315717739,44.93936456318531,52.25276632375534,0.17015825549358243,0.16914514432628258,40.41254425048828,40.74806213378906,1.0083023202207004,33.54524230957031,27.368375778198242,0.8158646023668806,0.1924377178538198,36.8191032409668,33.92289352416992,0.9213394824463187,37.52869415283203,29.985891342163086,0.7990123828995594,0.12232709954675924
Aphelodoris varia,Aphelodoris_varia_img02,processed_data/automated_image_analysis/scaled_images/sam_scaled_ring120/Aphelodoris_varia/Aphelodoris_varia_img02_sam_scaled_ring120_scaled_image.png,processed_data/automated_image_analysis/masks/sam_scaled_ring120/Aphelodoris_varia/Aphelodoris_varia_img02_sam_scaled_ring120_animal_mask.png,processed_data/automated_image_analysis/background_rings/sam_scaled_ring120/Aphelodoris_varia/Aphelodoris_varia_img02_sam_scaled_ring120_background_ring120.png,1024,768,147043,232800,786432,0.18697484334309897,0.2960205078125,171.91637820229457,106.4026675257732,65.51371067652137,146.73451983433418,86.46835481099656,60.26616502333762,108.33209333324265,47.12186426116838,61.21022907207427,149.8935957509028,87.94606958762887,61.94752616327392,61.94752616327392,107.35319600389002,165.33837199312714,-57.98517598923712,57.98517598923712,172.3941228076141,106.64351804123712,65.750604766377,65.750604766377,61.34665298461914,36.74239730834961,24.60425567626953,4.735072135925293,3.068976879119873,1.66609525680542,24.061084747314453,24.70737075805664,-0.6462860107421875,24.66906881898204,58.4594327077733,62.460426837116,60.414685337301734,60.25616193865617,54.810727789680335,58.24403076563657,56.073760636224755,52.170551347803354,62.55208108120002,0.22745174852569797,0.2231248514100902,55.33094787597656,51.68729782104492,0.9341480637002854,45.68487548828125,37.97415542602539,0.8312194138685185,0.10292864983176686,33.77824401855469,24.409786224365234,0.722648169956873,30.359922409057617,22.908082962036133,0.7545501155563463,0.03190194559947335
Doriprismatica atromarginata,Doriprismatica_atromarginata_img01,processed_data/automated_image_analysis/scaled_images/sam_scaled_ring120/Doriprismatica_atromarginata/Doriprismatica_atromarginata_img01_sam_scaled_ring120_scaled_image.png,processed_data/automated_image_analysis/masks/sam_scaled_ring120/Doriprismatica_atromarginata/Doriprismatica_atromarginata_img01_sam_scaled_ring120_animal_mask.png,processed_data/automated_image_analysis/background_rings/sam_scaled_ring120/Doriprismatica_atromarginata/Doriprismatica_atromarginata_img01_sam_scaled_ring120_background_ring120.png,671,451,84995,175206,302621,0.28086286146698347,0.5789618037082688,191.11931290075887,102.62126867801331,88.49804422274556,179.92364256720984,77.7433078775841,102.18033468962574,156.75466792164244,49.07560243370661,107.67906548793583,180.6340490617095,81.91262856294875,98.72142049876075,98.72142049876075,55.91092417201012,150.48943529331189,-94.57851112130177,94.57851112130177,191.94033766692158,102.81233519400021,89.12800247292137,89.12800247292137,72.86531829833984,33.766536712646484,39.09878158569336,0.6516265869140625,6.760357856750488,-6.108731269836426,13.607138633728027,19.58077621459961,-5.973637580871582,40.02144006854867,52.67052395548389,58.30094696459721,62.96210769610278,56.76561937317646,40.896704787322356,53.03768820200994,58.2463646877482,49.56087225409399,66.08609963342576,0.07223554423870857,0.15856498628156276,28.91037368774414,44.719207763671875,1.5468221976884895,32.594058990478516,30.95461654663086,0.94970118805005,0.5971210096384395,17.167085647583008,21.188556671142578,1.2342547305998768,30.26902961730957,25.882261276245117,0.8550740345321197,0.37918069606775706
Doriprismatica atromarginata,Doriprismatica_atromarginata_img02,processed_data/automated_image_analysis/scaled_images/sam_scaled_ring120/Doriprismatica_atromarginata/Doriprismatica_atromarginata_img02_sam_scaled_ring120_scaled_image.png,processed_data/automated_image_analysis/masks/sam_scaled_ring120/Doriprismatica_atromarginata/Doriprismatica_atromarginata_img02_sam_scaled_ring120_animal_mask.png,processed_data/automated_image_analysis/background_rings/sam_scaled_ring120/Doriprismatica_atromarginata/Doriprismatica_atromarginata_img02_sam_scaled_ring120_background_ring120.png,819,1024,79941,224270,838656,0.09532036973443224,0.26741596077533575,146.26196820154865,71.104628349757,75.15733985179166,150.02473073891994,43.79147010300085,106.2332606359191,162.6183310191266,52.394087483836444,110.22424353529016,150.33664827810512,52.94318455433183,97.3934637237733,97.3934637237733,54.11522247657648,162.99970571186518,-108.8844832352887,108.8844832352887,168.79359777836154,83.39774379096625,85.3958539873953,85.3958539873953,61.32183837890625,21.89558982849121,39.42624855041504,2.3218297958374023,15.51485824584961,-13.193028450012207,-6.591479301452637,0.7143415212631226,-7.305820822715759,42.21208467175677,52.16953563004306,62.86008651615322,66.18450090458906,59.24811728509265,44.94924572956926,59.005002986570155,49.3336215575029,58.202627219269885,64.65109848923389,0.09466144287466857,0.14324930441175102,32.26715850830078,50.0945930480957,1.552494714872671,35.47990036010742,43.01753234863281,1.2124479469226606,0.34004676795001054,23.803285598754883,37.9190788269043,1.5930186893563882,50.220680236816406,55.10933303833008,1.0973434206478516,0.4956752687085366
Doriprismatica atromarginata,Doriprismatica_atromarginata_img03,processed_data/automated_image_analysis/scaled_images/sam_scaled_ring120/Doriprismatica_atromarginata/Doriprismatica_atromarginata_img03_sam_scaled_ring120_scaled_image.png,processed_data/automated_image_analysis/masks/sam_scaled_ring120/Doriprismatica_atromarginata/Doriprismatica_atromarginata_img03_sam_scaled_ring120_animal_mask.png,processed_data/automated_image_analysis/background_rings/sam_scaled_ring120/Doriprismatica_atromarginata/Doriprismatica_atromarginata_img03_sam_scaled_ring120_background_ring120.png,1024,768,72514,204075,786432,0.09220631917317708,0.2594947814941406,178.7878754447417,92.72920739924048,86.05866804550122,176.04916292026368,48.88626730368737,127.16289561657632,168.38644951319745,29.94846012495406,138.43798938824338,176.00433019830655,59.844121033933604,116.16020916437294,116.16020916437294,43.625658493532285,182.53376944750704,-138.90811095397476,138.90811095397476,184.36477094078384,92.91379639838294,91.4509745424009,91.4509745424009,70.41929626464844,25.545480728149414,44.87381553649902,0.0454554483294487,17.350753784179688,-17.30529833585024,4.21854305267334,20.260732650756836,-16.042189598083496,50.699945940773745,75.77128698911484,75.80321110101394,73.19074043022255,75.1039480295817,48.7988265748062,73.99925479474756,29.110794142096804,42.111292204903194,38.13757718591167,0.06728405898876405,0.08020102767972868,37.93478775024414,68.44271850585938,1.8042204152155534,24.799720764160156,24.228382110595703,0.976961891668146,0.8272585235474075,19.345792770385742,24.05561065673828,1.2434543749255011,24.93674659729004,18.552837371826172,0.7439959057787583,0.49945846914674286
