species,n_images,mean_gray_contrast,sd_gray_contrast,mean_brightness_contrast,sd_brightness_contrast,mean_saturation_contrast,sd_saturation_contrast,mean_lab_colour_distance,sd_lab_colour_distance,mean_animal_brightness_sd,sd_animal_brightness_sd,mean_animal_saturation_sd,sd_animal_saturation_sd,mean_animal_edge_density,sd_animal_edge_density,mean_animal_area_pixels,mean_background_ring_area_pixels
Aphelodoris varia,2,72.63,17.415,73.976,15.554,-56.413,1.399,73.221,17.328,51.451,9.611,53.567,1.764,0.212,0.056,177938.5,164041.5
Doriprismatica atromarginata,3,106.508,7.849,91.311,5.957,-114.159,19.8,108.802,6.037,62.112,10.739,45.211,3.711,0.094,0.029,116893.333,157299.0
