species,image_id,segmentation_method,background_ring_width_pixels,animal_area_pixels,background_ring_area_pixels,animal_red_mean,background_red_mean,red_contrast,animal_green_mean,background_green_mean,green_contrast,animal_blue_mean,background_blue_mean,blue_contrast,animal_saturation_mean,background_saturation_mean,saturation_contrast,animal_brightness_mean,background_brightness_mean,brightness_contrast,animal_l_mean,background_l_mean,l_contrast,animal_a_mean,background_a_mean,a_contrast,animal_b_mean,background_b_mean,b_contrast,lab_colour_distance,animal_brightness_sd,animal_saturation_sd,background_brightness_sd,background_saturation_sd,notes
Aphelodoris varia,Aphelodoris_varia_img01,grabcut_baseline,80,206337,183050,200.113,113.928,86.185,160.7,72.621,88.079,134.37,51.632,82.739,94.912,150.589,-55.677,201.5,114.266,87.234,175.573,88.151,87.422,140.017,143.391,-3.374,147.919,147.366,0.553,87.489,43.216,52.332,48.942,45.008,automatic GrabCut baseline; background ring generated by mask dilation
Aphelodoris varia,Aphelodoris_varia_img02,grabcut_baseline,80,236134,189236,169.842,105.712,64.131,143.682,88.762,54.919,101.786,47.278,54.508,112.652,158.461,-45.809,170.203,106.278,63.925,154.291,96.155,58.136,132.614,129.357,3.257,154.11,153.667,0.443,58.229,53.447,49.191,54.703,48.693,automatic GrabCut baseline; background ring generated by mask dilation
Doriprismatica atromarginata,Doriprismatica_atromarginata_img01,grabcut_baseline,80,174570,200487,198.186,97.452,100.733,187.148,75.793,111.355,163.382,51.063,112.318,52.674,143.638,-90.964,199.055,97.902,101.152,193.493,83.213,110.28,128.401,133.949,-5.548,141.824,145.057,-3.233,110.467,44.574,37.311,66.683,53.999,automatic GrabCut baseline; background ring generated by mask dilation
Doriprismatica atromarginata,Doriprismatica_atromarginata_img02,grabcut_baseline,80,81444,151466,151.048,75.811,75.237,148.991,47.131,101.86,161.243,55.14,106.103,61.391,160.639,-99.247,172.683,88.474,84.209,157.914,60.005,97.91,132.584,144.293,-11.709,122.867,129.208,-6.34,98.811,54.444,57.672,65.561,58.351,automatic GrabCut baseline; background ring generated by mask dilation
Doriprismatica atromarginata,Doriprismatica_atromarginata_img03,grabcut_baseline,80,110981,147063,162.82,83.872,78.948,131.279,45.815,85.464,120.267,27.915,92.352,102.321,181.675,-79.354,165.733,84.655,81.078,145.515,59.774,85.741,140.387,143.263,-2.875,140.887,146.458,-5.571,85.97,65.159,87.985,38.541,48.906,automatic GrabCut baseline; background ring generated by mask dilation
