species,image_id,boldness_gray_sd,boldness_saturation_sd,boldness_edge_density,boldness_luminance_edge_cv,boldness_chromatic_edge_mean,boldness_chromatic_edge_cv,detectability_gray_mean_difference,detectability_saturation_mean_difference,detectability_lab_colour_distance,detectability_luminance_edge_cv_difference,detectability_chromatic_edge_cv_difference,detectability_gray_sd_difference,detectability_saturation_sd_difference,detectability_edge_density_difference,detectability_chromatic_edge_mean_difference
Aphelodoris varia,Aphelodoris_varia_img01,50.94289619537593,51.1629984168556,0.1701582554935824,1.0083023202207004,36.8191032409668,0.9213394824463188,79.37794366682186,57.537489776477386,31.322734391737036,0.1924377178538198,0.1223270995467592,6.981933038198541,6.223633853670293,0.0010131111672999071,0.7095909118652344
Aphelodoris varia,Aphelodoris_varia_img02,60.25616193865617,54.810727789680335,0.2274517485256979,0.9341480637002854,33.77824401855469,0.722648169956873,61.94752616327392,57.98517598923712,24.66906881898204,0.1029286498317668,0.0319019455994733,4.182401302431408,2.6401764418769744,0.004326897115607714,3.4183216094970703
Doriprismatica atromarginata,Doriprismatica_atromarginata_img01,56.76561937317646,40.89670478732236,0.0722355442387085,1.5468221976884895,17.167085647583008,1.2342547305998768,98.72142049876076,94.57851112130176,40.02144006854867,0.5971210096384395,0.379180696067757,1.4807453145717346,8.664167466771623,0.08632944204285421,13.101943969726562
Doriprismatica atromarginata,Doriprismatica_atromarginata_img02,59.24811728509265,44.94924572956926,0.0946614428746685,1.552494714872671,23.803285598754883,1.5930186893563882,97.3934637237733,108.8844832352887,42.21208467175677,0.3400467679500105,0.4956752687085366,9.914495727589745,13.253381489700622,0.048587861537082486,26.417394638061523
Doriprismatica atromarginata,Doriprismatica_atromarginata_img03,75.1039480295817,48.7988265748062,0.067284058988764,1.8042204152155532,19.345792770385746,1.2434543749255011,116.16020916437294,138.90811095397476,50.69994594077375,0.8272585235474075,0.4994584691467428,45.993153887484894,6.687534369902998,0.012916968690964606,5.590953826904293
