panel,title,defence_variable,visual_score,n_species,pearson_r,pearson_p,pearson_r_squared,spearman_rho,spearman_p,linear_slope,linear_intercept,pearson_q_bh_4_tests,spearman_q_bh_4_tests,significant_after_bh
A,Unpalatability and boldness,unpalatability_strength_0_1,mean_normalised_boldness,26,0.3693099127400914,0.06334492060452718,0.1363898116480939,0.39006802260197204,0.04884108221717986,0.42857822034643556,-0.14540671833294175,0.1038047418007172,0.07258491257089059,False
B,Unpalatability and detectability,unpalatability_strength_0_1,mean_normalised_detectability,26,0.11969282756261734,0.5602971295326908,0.01432637296993445,0.10489522941438628,0.6100736805715448,0.1421197319583616,-0.06587570886088034,0.5602971295326908,0.6100736805715448,False
C,Toxicity and boldness,toxicity_strength_0_1,mean_normalised_boldness,27,0.5727246912146723,0.0017954129622704301,0.3280135719269417,0.567887039469416,0.002002659293113088,0.80691245853939,-0.22145510009510927,0.0071816518490817206,0.008010637172452352,True
D,Toxicity and detectability,toxicity_strength_0_1,mean_normalised_detectability,27,0.3451587164568225,0.07785355635053791,0.11913453954612119,0.37427446843024226,0.05443868442816794,0.47613266628961204,-0.1701773449283679,0.1038047418007172,0.07258491257089059,False
