species,image_slot,image_id,analysis_stage,source,observation_id,observation_url,license,photographer_or_observer,date_accessed,source_metadata_status,original_image_path,original_width,original_height,image_downloaded,usable,exclusion_reason,animal_clear,background_clear,segmentation_status,segmentation_qc,metrics_status,notes,source_photo_id
Doriprismatica atromarginata,6,Doriprismatica_atromarginata_img06,candidate,iNaturalist,366327418,https://www.inaturalist.org/observations/366327418,CC BY,Jay Paroline,2026/6/18,matched,raw_data/formal_images/Doriprismatica_atromarginata/Doriprismatica_atromarginata_img06.jpg,2048,1536,yes,yes,,yes,yes,not_started,not_reviewed,not_started,Research grade; whole animal visible; black margin visible; background visible; slightly green/yellow underwater colour cast; observation from Taiwan,668881086
Doriprismatica atromarginata,7,Doriprismatica_atromarginata_img07,candidate,iNaturalist,360814500,https://www.inaturalist.org/observations/360814500,CC BY-NC,Terry Farr,2026/6/18,matched,raw_data/formal_images/Doriprismatica_atromarginata/Doriprismatica_atromarginata_img07.jpg,1000,750,yes,yes,,yes,yes,not_started,not_reviewed,not_started,Research grade; whole animal visible; black margin clearly visible; background visible; slightly yellow/green underwater colour cast,658422896
Doriprismatica atromarginata,8,Doriprismatica_atromarginata_img08,candidate,iNaturalist,351931823,https://www.inaturalist.org/observations/351931823,CC BY-NC,babarg,2026/6/18,matched,raw_data/formal_images/Doriprismatica_atromarginata/Doriprismatica_atromarginata_img08.jpg,2048,1155,yes,yes,,yes,partial,not_started,not_reviewed,not_started,Research grade; animal clear; black margin clearly visible; close-up image; background partly visible; slightly blue/green underwater colour cast,642298874
Doriprismatica atromarginata,9,Doriprismatica_atromarginata_img09,candidate,iNaturalist,351062348,https://www.inaturalist.org/observations/351062348,CC BY-NC,gina_mascord / Gina,2026/6/18,matched,raw_data/formal_images/Doriprismatica_atromarginata/Doriprismatica_atromarginata_img09.jpg,1024,768,yes,yes,,yes,yes,not_started,not_reviewed,not_started,Research grade; whole animal mostly visible; black margin clearly visible; background visible; slightly curled body posture,640596953
Doriprismatica atromarginata,10,Doriprismatica_atromarginata_img10,candidate,iNaturalist,370026527,https://www.inaturalist.org/observations/370026527,CC BY-NC,cr1970,2026/6/18,matched,raw_data/formal_images/Doriprismatica_atromarginata/Doriprismatica_atromarginata_img10.jpg,2048,1536,yes,yes,,yes,partial,not_started,not_reviewed,not_started,Research grade; black margin clearly visible; animal mostly clear; close-up image; dark background; observation from Indonesia,675950634
Hypselodoris bennetti,1,Hypselodoris_bennetti_img01,candidate,iNaturalist,371930850,https://www.inaturalist.org/observations/371930850,CC BY-NC,Harry Rosenthal,2026/6/18,matched,raw_data/formal_images/Hypselodoris_bennetti/Hypselodoris_bennetti_img01.jpg,2048,1754,yes,yes,,yes,yes,not_started,not_reviewed,not_started,"Research grade; whole animal mostly visible; purple margin, yellow line and red spots visible; background visible; slightly green underwater colour cast",679591306
Hypselodoris bennetti,2,Hypselodoris_bennetti_img02,candidate,iNaturalist,369667039,https://www.inaturalist.org/observations/369667039,CC BY-NC,Peter,2026/6/18,matched,raw_data/formal_images/Hypselodoris_bennetti/Hypselodoris_bennetti_img02.jpg,2048,1552,yes,yes,,yes,yes,not_started,not_reviewed,not_started,"Research grade; whole animal visible; blue-purple body, yellow/orange mantle edge and red spots visible; background visible; image slightly soft but still usable",675264643
Hypselodoris bennetti,3,Hypselodoris_bennetti_img03,candidate,iNaturalist,368868718,https://www.inaturalist.org/observations/368868718,CC BY-NC,hurlza95,2026/6/18,matched,raw_data/formal_images/Hypselodoris_bennetti/Hypselodoris_bennetti_img03.jpg,1366,2048,yes,yes,,yes,yes,not_started,not_reviewed,not_started,"Research grade; whole animal visible; purple margin, yellow line and red spots clearly visible; background visible; strong colour contrast",673759002
Hypselodoris bennetti,4,Hypselodoris_bennetti_img04,candidate,iNaturalist,360526342,https://www.inaturalist.org/observations/360526342,CC BY-NC,Erik Schlögl,2026/6/18,matched,raw_data/formal_images/Hypselodoris_bennetti/Hypselodoris_bennetti_img04.jpg,1800,1212,yes,yes,,yes,yes,not_started,not_reviewed,not_started,"Research grade; whole animal mostly visible; purple margin, yellow line and red spots clearly visible; background visible; some sediment/particles on body",657867308
Hypselodoris bennetti,5,Hypselodoris_bennetti_img05,candidate,iNaturalist,350656519,https://www.inaturalist.org/observations/350656519,CC BY-NC,knealepw,2026/6/18,matched,raw_data/formal_images/Hypselodoris_bennetti/Hypselodoris_bennetti_img05.jpg,2048,976,yes,yes,,yes,partial,not_started,not_reviewed,not_started,"Research grade; animal clear; purple margin, yellow line and red spots clearly visible; close-up image; background partly visible",639829106
Hypselodoris bennetti,6,Hypselodoris_bennetti_img06,candidate,iNaturalist,346953419,https://www.inaturalist.org/observations/346953419,CC BY-NC,sue_churchill / Sue Churchill,2026/6/18,matched,raw_data/formal_images/Hypselodoris_bennetti/Hypselodoris_bennetti_img06.jpg,1868,1401,yes,yes,,yes,yes,not_started,not_reviewed,not_started,"Research grade; whole animal visible; purple margin, yellow line and red spots clearly visible; background visible",632497069
Hypselodoris bennetti,7,Hypselodoris_bennetti_img07,candidate,iNaturalist,345026801,https://www.inaturalist.org/observations/345026801,CC BY,nikihubbard / Niki Hubbard,2026/6/18,matched,raw_data/formal_images/Hypselodoris_bennetti/Hypselodoris_bennetti_img07.jpg,2048,1536,yes,yes,,yes,yes,not_started,not_reviewed,not_started,"Research grade; whole animal visible; blue body, yellow margin line and red spots clearly visible; background visible",628722775
