metric,PC1,PC2,PC3,PC4,PC5,PC6
Gray SD,-0.0873349776666814,-0.5036011140750909,-0.7861140240034582,0.21174903959178584,-0.07328178605007821,0.2656602810143905
Saturation SD,-0.3983435833180897,-0.4394323193049817,0.3308336958743098,0.5679943388113043,0.30036132366793633,-0.35487490525035437
Edge density,0.48456339210122173,-0.3344401393935673,-0.1290203580726978,-0.39077675451320043,0.5793333509610834,-0.38518600181846446
Luminance edge CV,-0.539124101259276,0.08618386857329535,-0.29168456961997147,-0.4004366166829408,-0.25135492188062075,-0.6271434248643909
Chromatic edge mean,-0.11511982303699866,-0.6402848946516276,0.41230456492808026,-0.47887014532483335,-0.33276205825624194,0.2583416773693199
Chromatic edge CV,-0.5431260812425882,0.15505657771819492,-0.029199515871105784,-0.30028686847494346,0.6283914698445661,0.4416682726904683
