component,eigenvalue,explained_variance_ratio,explained_variance_percent,cumulative_variance_percent
PC1,2.7512462335682955,0.4585410389280491,45.85410389280491,45.85410389280491
PC2,1.7585845274164376,0.29309742123607285,29.309742123607286,75.1638460164122
PC3,0.8230354551286528,0.13717257585477544,13.717257585477544,88.88110360188975
PC4,0.2950157353641984,0.04916928922736639,4.916928922736639,93.79803252462638
PC5,0.23146001559888912,0.03857666926648151,3.857666926648151,97.65569945127453
PC6,0.1406580329235277,0.023443005487254608,2.3443005487254607,100.0
