metric,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
Gray contrast,0.38049696257357385,0.5291013649161985,0.13449243918981604,0.24770928327442698,0.04259772476067587,0.10851413596538365,-0.11882272853355877,-0.21065701644565651,-0.6509536071360985
Saturation contrast,0.3606129932171064,-0.29018248809873914,0.04094684934476604,-0.33234709844580934,-0.2527160464817707,-0.36104529814216957,-0.6699931917201104,0.11224600106578306,-0.13383573977345747
CIELAB distance,0.39825625972858064,0.4955691337567385,0.2640930604917841,0.08027119471586439,-0.02412491416384885,-0.10629925010755642,-0.09194560971776389,0.03917423005072315,0.7055100413532667
Luminance edge CV diff.,0.37552481665608434,-0.3560977115826762,-0.29857515238249527,0.3518937770278251,-0.047455938356065944,-0.24940252595404813,0.1833825369627698,-0.6358042906861426,0.1298816499530694
Chromatic edge CV diff.,0.40412999965265073,-0.11984110051725207,-0.3048098426598173,0.22315036013333273,0.4539568005861523,-0.16408789227193296,0.179653343556616,0.6391248078067685,-0.07651453197826885
Gray SD diff.,0.328733954950009,-0.20245807266272256,0.03435359778038964,0.12670922938568807,-0.6645997027266831,0.520417801437015,0.21962080117132063,0.27008669025865745,-0.0013220082106223663
Saturation SD diff.,0.2611827631314267,-0.3516403445509313,0.33714094099852426,-0.17586515023018645,0.5318707904791155,0.5605489447926753,-0.1511290856857959,-0.18987565767044126,0.08686566626240158
Edge density diff.,-0.2893233125619694,-0.11724118210838932,-0.006663299400139825,0.735552384298392,0.009769562258763638,0.15391495306811503,-0.5611553999673096,0.10433676971121339,0.10907802193439833
Chromatic edge mean diff.,-0.04734880729835027,-0.2659021163139883,0.7832912929366298,0.24514413917247438,-0.02710041240924267,-0.38562334956600636,0.27688107304828025,0.09421503708809734,-0.13577133172020958
