species,species_original,family,authority,body_part,chemical_defence_class,unpalatability_ps_ed50,unpalatability_tf_ed50,unpalatability_trf_ed50,toxicity_bs_ld50,toxicity_df_wm,number_of_individuals,collection_location,coordinates,source_dataset,chemical_defence_class_raw,chemical_defence_class_status,unpalatability_ps_ed50_raw,unpalatability_ps_ed50_status,unpalatability_ps_ed50_exact_values,unpalatability_ps_ed50_exact_n,unpalatability_ps_ed50_exact_mean,unpalatability_ps_ed50_gt_thresholds,unpalatability_ps_ed50_lt_thresholds,unpalatability_ps_ed50_has_nr,unpalatability_ps_ed50_has_inconclusive,unpalatability_ps_ed50_unparsed_components,unpalatability_tf_ed50_raw,unpalatability_tf_ed50_status,unpalatability_tf_ed50_exact_values,unpalatability_tf_ed50_exact_n,unpalatability_tf_ed50_exact_mean,unpalatability_tf_ed50_gt_thresholds,unpalatability_tf_ed50_lt_thresholds,unpalatability_tf_ed50_has_nr,unpalatability_tf_ed50_has_inconclusive,unpalatability_tf_ed50_unparsed_components,unpalatability_trf_ed50_raw,unpalatability_trf_ed50_status,unpalatability_trf_ed50_exact_values,unpalatability_trf_ed50_exact_n,unpalatability_trf_ed50_exact_mean,unpalatability_trf_ed50_gt_thresholds,unpalatability_trf_ed50_lt_thresholds,unpalatability_trf_ed50_has_nr,unpalatability_trf_ed50_has_inconclusive,unpalatability_trf_ed50_unparsed_components,toxicity_bs_ld50_raw,toxicity_bs_ld50_status,toxicity_bs_ld50_exact_values,toxicity_bs_ld50_exact_n,toxicity_bs_ld50_exact_mean,toxicity_bs_ld50_gt_thresholds,toxicity_bs_ld50_lt_thresholds,toxicity_bs_ld50_has_nr,toxicity_bs_ld50_has_inconclusive,toxicity_bs_ld50_unparsed_components,toxicity_df_wm_raw,toxicity_df_wm_status,toxicity_df_wm_exact_values,toxicity_df_wm_exact_n,toxicity_df_wm_exact_mean,toxicity_df_wm_gt_thresholds,toxicity_df_wm_lt_thresholds,toxicity_df_wm_has_nr,toxicity_df_wm_has_inconclusive,toxicity_df_wm_unparsed_components,unpalatability_strength_0_1,unpalatability_strength_status,unpalatability_strength_n_components,toxicity_strength_0_1,toxicity_strength_status,toxicity_strength_n_components,boldness_PC1,boldness_PC2,boldness_PC3,boldness_PC4,boldness_PC5,boldness_PC6,detectability_PC1,detectability_PC2,detectability_PC3,detectability_PC4,detectability_PC5,detectability_PC6,detectability_PC7,detectability_PC8,detectability_PC9
Doriprismatica atromarginata,Doriprismatica atromarginata; Doriprismatica atromarginata (2),Chromodorididae,"Cuvier, 1804",WB,I&II,0.15; 0.37,0.07,0.2; 0.54,0.07,,84.0,"Mackay, NE QLD (1)
Mooloolaba, SE QLD (24)
North Stradbroke Island, SE QLD (15)
Coffs Harbour, NE NSW (7)
Nelson Bay, NSW (1); Mooloolaba, SE QLD","21o39’S; 150o16’E
26o40’S; 153°07’E
27°41’S; 153°53’E
30°18’S; 153°09’E
32°72’S; 152°15’E; 26o40’S; 153o07’E",chemical_defence_modes_Table_S1_species_summary,I&II,simple,0.15; 0.37,measured_multiple,0.15; 0.37,2,0.26,,,False,False,,0.07,measured,0.07,1,0.07,,,False,False,,0.2; 0.54,measured_multiple,0.2; 0.54,2,0.37,,,False,False,,0.07,measured,0.07,1,0.07,,,False,False,,,missing,,0,,,,False,False,,0.74,resolved_multiple,2,0.9299999999999999,resolved_single,1,-1.1718270550684478,0.0150928455911009,-1.9686185376132197,-0.5024029054967274,-0.1038430229823236,-0.3937744840180437,2.462757829604607,-0.1193177243527329,-0.3162089272266024,0.3609785359751884,-1.1889221782334316,-1.0472834755772238,-0.9745781032838436,-0.6725808135360247,-0.2942021009390867
Glossodoris hikuerensis,Glossodoris hikuerensis,Chromodorididae,"Pruvot-Fol, 1954",WB,WR,nr,>1,,nr,,1.0,"Lizard Island, GBR",14o40’S; 145o28’E,chemical_defence_modes_Table_S1_species_summary,WR,simple,nr,nr,,0,,,,True,False,,>1,greater_than,,0,,1,,False,False,,,missing,,0,,,,False,False,,nr,nr,,0,,,,True,False,,,missing,,0,,,,False,False,,0.0,resolved_single,1,0.0,resolved_single,1,3.5396690521218277,-1.3125136080777926,0.5843311094699802,-0.9399560173068716,0.942710420547316,-0.0686462094694135,-2.256036144572346,0.1406856602871291,0.5764267013140119,2.663165038785229,-0.0998955919904047,0.0782192003679138,-1.997788186726429,0.0546966358910231,-0.0011534241718157
Goniobranchus collingwoodi,Goniobranchus collingwoodi,Chromodorididae,"Rudman, 1987",WB,II / WR,0.09,1.12,,nr,,1.0,"GBR, supplied by Cairns Marine Ltd. Stratford, QLD",,chemical_defence_modes_Table_S1_species_summary,II / WR,mixed_or_uncertain,0.09,measured,0.09,1,0.09,,,False,False,,1.12,measured,1.12,1,1.12,,,False,False,,,missing,,0,,,,False,False,,nr,nr,,0,,,,True,False,,,missing,,0,,,,False,False,,0.91,resolved_single,1,0.0,resolved_single,1,0.0740557755900488,-0.6194663118401241,0.3128518459204068,0.24242611029364,-0.4115913789539778,0.1338665024898815,-0.9782797933779552,1.593778428922345,1.747440209136386,0.2100705998863376,-0.6527808817056602,0.3907383848549752,0.660612951348909,0.1038021620388669,-0.318768340999931
Goniobranchus daphne,Goniobranchus daphne,Chromodorididae,"Angas, 1864",WB,II,0.43,,,> 0.5,,8.0,"Cleveland Point, SE QLD",27o30’S; 153o17’E,chemical_defence_modes_Table_S1_species_summary,II,simple,0.43,measured,0.43,1,0.43,,,False,False,,,missing,,0,,,,False,False,,,missing,,0,,,,False,False,,> 0.5,greater_than,,0,,0.5,,False,False,,,missing,,0,,,,False,False,,0.5700000000000001,resolved_single,1,,censored_excluded,0,-0.6768383177091997,1.4574463248621288,-0.1771488084065384,0.1789824880817207,0.1202372195210594,0.0565609449062372,1.849866710026044,0.6444975243547597,-1.6495086540822193,0.091616056429983,0.5057207139114486,-0.1567774806114497,0.6320346661056621,-0.5918464145818524,-0.1952034920894169
Goniobranchus splendidus,Goniobranchus splendidus (1); Goniobranchus splendidus (2); Goniobranchus splendidus (3),Chromodorididae,"Angas, 1864",M; WB,II,0.18; 0.25,,0.44,0.52; nr,3,81.0,"Coffs Harbour, NSW; Mooloolaba, SE QLD; North Stradbroke Island, SE QLD",26o40’S; 153o07’E; 27o41’S; 153o53’E; 30o18’S; 153o09’E,chemical_defence_modes_Table_S1_species_summary,II,simple,0.18; 0.25,measured_multiple,0.18; 0.25,2,0.215,,,False,False,,,missing,,0,,,,False,False,,0.44,measured,0.44,1,0.44,,,False,False,,0.52; nr,measured_plus_nr,0.52,1,0.52,,,True,False,,3,measured,3,1,3.0,,,False,False,,0.785,resolved_multiple,2,0.24,resolved_multiple,2,-1.8675439012017,-0.0127306605959627,-0.5351805278039712,0.3073064607421694,0.5922051455479186,-0.2354556953280333,1.3783948873341816,-0.3561459640055595,-1.1771147643937974,0.5489736324468684,1.2754057429310228,0.6668548709162128,0.5767347867717509,-0.5281544280157188,0.0214674689200906
Goniobranchus tasmaniensis,Goniobranchus tasmaniensis,Chromodorididae,"Bergh, 1905",WB,II,< 0.25,,,0.86,,5.0,"Sydney, NSW",34o04’S; 151o09’E,chemical_defence_modes_Table_S1_species_summary,II,simple,< 0.25,less_than,,0,,,0.25,False,False,,,missing,,0,,,,False,False,,,missing,,0,,,,False,False,,0.86,measured,0.86,1,0.86,,,False,False,,,missing,,0,,,,False,False,,,censored_excluded,0,0.14,resolved_single,1,-1.575741582814851,1.3488573870299805,0.5581442119546483,0.1904783937216098,0.8170464068852824,0.176757336395506,3.184674339932934,0.5417677378614508,1.57337937996785,-1.733807973121786,1.7879039655432707,1.621364861909535,-1.285412420136318,-0.0215419898841598,-0.1935575776176632
Goniobranchus tinctorius,Goniobranchus tinctorius (1); Goniobranchus tinctorius (2),Chromodorididae,"Rüppell & Leuckart, 1830",M; WB,II,0.15,,,0.86; nr,,6.0,"Mackay, NE QLD; Mooloolaba, SE QLD",21o39’S; 150o16’E; 26o40’S; 153o07’E,chemical_defence_modes_Table_S1_species_summary,II,simple,0.15,measured,0.15,1,0.15,,,False,False,,,missing,,0,,,,False,False,,,missing,,0,,,,False,False,,0.86; nr,measured_plus_nr,0.86,1,0.86,,,True,False,,,missing,,0,,,,False,False,,0.85,resolved_single,1,0.07,resolved_multiple,2,1.4162155126264515,-1.597486947169347,1.058747069801873,-0.1656852200504764,-0.221099046856049,-0.0454122968875985,-1.643049480485961,0.34146764563747,1.6923633314101687,0.6315976170508631,0.6809324280696755,-0.7062274061247846,0.2303098546058223,-0.234642948947365,-0.3110133695183712
Halgerda aurantiomaculata,Halgerda aurantiomaculata,Discodorididae,"Allan, 1932",WB,NR,nr,,,nr,,3.0,"GBR, supplied by Cairns Marine Ltd.",,chemical_defence_modes_Table_S1_species_summary,NR,simple,nr,nr,,0,,,,True,False,,,missing,,0,,,,False,False,,,missing,,0,,,,False,False,,nr,nr,,0,,,,True,False,,,missing,,0,,,,False,False,,0.0,resolved_single,1,0.0,resolved_single,1,-1.9043355110336808,0.1268511637329578,2.19039903399852,0.4090418028349802,0.688609896769276,-0.0240052671986281,-0.0189439343189192,-0.6644171501282676,-0.2044157673076154,0.9944799172130858,0.513962964111888,0.8478989263272224,0.4733860392374772,0.3019423760168885,-0.0226227225660084
Hypselodoris bennetti,Hypselodoris bennetti,Chromodorididae,"Angas, 1864",WB,I&II,0.27,,,0.12,,26.0,"Coffs Harbour, NE NSW",30o18’S; 153o09’E,chemical_defence_modes_Table_S1_species_summary,I&II,simple,0.27,measured,0.27,1,0.27,,,False,False,,,missing,,0,,,,False,False,,,missing,,0,,,,False,False,,0.12,measured,0.12,1,0.12,,,False,False,,,missing,,0,,,,False,False,,0.73,resolved_single,1,0.88,resolved_single,1,-1.093705463413061,0.5016084463649764,-0.009308790801274,-0.1477836916439834,0.2871645281625111,0.6874577226773134,0.9587486628960552,0.712705019607947,-0.5734499985641843,0.0137756120832657,1.1067328139126955,-1.4291295758341018,0.504704139110569,0.8651218764203776,-0.2142459596360591
Hypselodoris obscura,Hypselodoris obscura; Hypselodoris obscura (2),Chromodorididae,"Stimpson, 1855",WB,I,>1,>1,> 1,0.35,,23.0,"Cleveland Point, SE QLD (1)
Gold Coast, SE QLD (1)
Mooloolaba, SE QLD (5)
North Stradbroke Island, SE QLD (3); Gold Coast, SE QLD (9)
North Stradbroke Island, SE QLD (3)
Mooloolaba, SE QLD (1)","27°30’S; 153°17’E
27°56’S; 153°25’E
26°40’S; 153°07’E
27°41’S; 153°53’E; 27°56’S; 153°25’E
27°41’S; 153°53’E
26°40’S; 153°07’E",chemical_defence_modes_Table_S1_species_summary,I,simple,>1,greater_than,,0,,1,,False,False,,>1,greater_than,,0,,1,,False,False,,> 1,greater_than,,0,,1,,False,False,,0.35,measured,0.35,1,0.35,,,False,False,,,missing,,0,,,,False,False,,0.0,resolved_single,1,0.65,resolved_single,1,-0.0442735136871526,-0.5904232490912309,0.671269289174791,0.5101209939007465,-0.2552737187046092,0.3671241689778865,-0.8941853723397988,-0.563676414850579,0.974675045804194,-1.2092856343821687,0.0596010966754505,0.1390370419038757,0.6779460658229572,0.5274355107646873,0.0344970360021056
