species,n_images,boldness_gray_sd_species_mean,boldness_saturation_sd_species_mean,boldness_edge_density_species_mean,boldness_luminance_edge_cv_species_mean,boldness_chromatic_edge_mean_species_mean,boldness_chromatic_edge_cv_species_mean,detectability_gray_mean_difference_species_mean,detectability_saturation_mean_difference_species_mean,detectability_lab_colour_distance_species_mean,detectability_luminance_edge_cv_difference_species_mean,detectability_chromatic_edge_cv_difference_species_mean,detectability_gray_sd_difference_species_mean,detectability_saturation_sd_difference_species_mean,detectability_edge_density_difference_species_mean,detectability_chromatic_edge_mean_difference_species_mean,boldness_gray_sd_species_sd,boldness_saturation_sd_species_sd,boldness_edge_density_species_sd,boldness_luminance_edge_cv_species_sd,boldness_chromatic_edge_mean_species_sd,boldness_chromatic_edge_cv_species_sd,detectability_gray_mean_difference_species_sd,detectability_saturation_mean_difference_species_sd,detectability_lab_colour_distance_species_sd,detectability_luminance_edge_cv_difference_species_sd,detectability_chromatic_edge_cv_difference_species_sd,detectability_gray_sd_difference_species_sd,detectability_saturation_sd_difference_species_sd,detectability_edge_density_difference_species_sd,detectability_chromatic_edge_mean_difference_species_sd,n_whole_body_extracts,whole_body_extract_ids,chemical_defence_class_raw,toxicity_df_wm_raw_values,toxicity_bs_ld50_raw_values,toxicity_bs_ld50_species_status,n_toxicity_bs_ld50_exact,toxicity_bs_ld50_exact_values,toxicity_bs_ld50_exact_mean,n_toxicity_bs_ld50_left_censored,toxicity_bs_ld50_left_censored_bounds,n_toxicity_bs_ld50_right_censored,toxicity_bs_ld50_right_censored_bounds,n_toxicity_bs_ld50_no_response,n_toxicity_bs_ld50_inconclusive,n_toxicity_bs_ld50_missing,n_toxicity_bs_ld50_unclassified,unpalatability_ps_ed50_raw_values,unpalatability_ps_ed50_species_status,n_unpalatability_ps_ed50_exact,unpalatability_ps_ed50_exact_values,unpalatability_ps_ed50_exact_mean,n_unpalatability_ps_ed50_left_censored,unpalatability_ps_ed50_left_censored_bounds,n_unpalatability_ps_ed50_right_censored,unpalatability_ps_ed50_right_censored_bounds,n_unpalatability_ps_ed50_no_response,n_unpalatability_ps_ed50_inconclusive,n_unpalatability_ps_ed50_missing,n_unpalatability_ps_ed50_unclassified
Aphelodoris varia,2,55.59952906701605,52.986863103267964,0.1988050020096401,0.9712251919604928,35.29867362976074,0.8219938262015959,70.66273491504789,57.76133288285725,27.995901605359546,0.1476831838427933,0.0771145225731162,5.582167170314975,4.431905147773634,0.0026700041414538,2.0639562606811523,6.585473362065829,2.5793341754577246,0.040512617440873,0.0524349776394322,2.1502121768012543,0.1404959744241425,12.325166415671443,0.3165619568861316,4.704852046242535,0.0632924689760816,0.0639402395459633,1.9795678745078853,2.53388703597225,0.0023432005154491,1.915361844703639,2,Ap_var1; Ap_var2,NR; WR/NR,1.0,nr,no_response,0,,,0,,0,,1,0,1,0,nr,no_response,0,,,0,,0,,2,0,0,0
Doriprismatica atromarginata,3,63.70589489595027,44.88159236389927,0.0780603487007136,1.6345124425922375,20.105388005574543,1.3569092649605887,104.09169779563564,114.1237017701884,44.31115689369307,0.5881421003786191,0.4581048113076788,19.129464976548796,9.535027775458415,0.049278090756967,15.03676414489746,9.948739136115742,3.951495276407592,0.0145885759200304,0.1469987800688769,3.382680318767138,0.204528490876739,10.472707018343655,22.62444283233419,5.640230497104245,0.2437299515995038,0.0683764588597,23.64371740938666,3.3684396028537056,0.0367111035409242,10.54717052331312,2,Dp_atrom1; Dp_atrom2,I&II,,0.07,exact_numeric_available,1,0.07,0.07,0,,0,,0,0,1,0,0.37; 0.15,exact_numeric_available,2,0.37; 0.15,0.26,0,,0,,0,0,0,0
