defence_variable,visual_axis,n_species,pearson_r,pearson_p,pearson_r_squared,linear_slope,linear_intercept,spearman_rho,spearman_p,pearson_p_fdr,spearman_p_fdr
unpalatability_strength_0_1,boldness_PC1,26,-0.27723297076144976,0.1703294703930884,0.07685812007721886,-1.1562442259465415,0.4508176034333779,-0.16961025230732968,0.4074788144009756,0.5078494219280827,0.8149576288019512
unpalatability_strength_0_1,boldness_PC2,26,-0.27154702607743625,0.1796276134859653,0.07373778737149984,-0.8006547433188514,0.2515818600088191,-0.2567266292785996,0.2055057244825516,0.5078494219280827,0.7655957856276998
unpalatability_strength_0_1,detectability_PC1,26,0.16406345420969015,0.4232078516067356,0.026916817007215096,0.7143341268936921,-0.329695736815559,0.08142714418947274,0.6925208327695548,0.5078494219280827,0.9779948034863635
unpalatability_strength_0_1,detectability_PC2,26,-0.12297771460182796,0.549503042632001,0.01512351828868865,-0.35646663517834803,0.14033547891067988,-0.005689232781797222,0.9779948034863635,0.549503042632001,0.9779948034863635
unpalatability_strength_0_1,detectability_PC3,26,0.21989723826302804,0.2804111611727187,0.048354795395706925,0.6006012989747331,-0.31792108763328214,0.23148065880937446,0.25519859520923327,0.5078494219280827,0.7655957856276998
unpalatability_strength_0_1,detectability_PC4,26,-0.19515920902576864,0.3393707902920917,0.03808711686756366,-0.4889372114655442,0.2611129843223324,-0.017067698345391666,0.9340470350964031,0.5078494219280827,0.9779948034863635
toxicity_strength_0_1,boldness_PC1,27,-0.47612354693492975,0.01205665752226117,0.22669363194589826,-2.180078539478718,0.7328419654125351,-0.4228394946106369,0.027990748422528695,0.07233994513356702,0.105880153421899
toxicity_strength_0_1,boldness_PC2,27,-0.38965702484167325,0.044524478560117466,0.15183259700846435,-1.374398326369645,0.2644676662925094,-0.3671515979237843,0.05957825055092174,0.1048267286084253,0.11915650110184346
toxicity_strength_0_1,detectability_PC1,27,0.36358206457643893,0.06229201857449847,0.1321919176816658,1.7469769632840069,-0.7283535901113816,0.4066511525505054,0.035293384473966335,0.1048267286084253,0.105880153421899
toxicity_strength_0_1,detectability_PC2,27,-0.3541981769346111,0.0698844857389502,0.12545634854380205,-1.124539669467717,0.26608479994655493,-0.2583659392797001,0.19318737447520526,0.1048267286084253,0.2318248493702463
toxicity_strength_0_1,detectability_PC3,27,0.22582408778246083,0.25738282599469126,0.050996518622780575,0.6167389576972948,-0.02967276302640604,0.3069309654600948,0.11941010619726859,0.3088593911936295,0.17911515929590288
toxicity_strength_0_1,detectability_PC4,27,-0.12167606846738482,0.545455734771797,0.014805065637679719,-0.33723077566829995,0.09611802560778523,-0.14763767958840004,0.46240693825245444,0.545455734771797,0.46240693825245444
