species,image_id,status,attempts,point1_x,point1_y,point2_x,point2_y,animal_perimeter_original_px,mask_path,qc_path
Dendrodoris krusensternii (=denisoni),Dendrodoris_krusensternii_denisoni_img01,accepted,1,701.4231564308321,1110.1180822270633,403.1841017262301,1081.9510603938509,1112.6976082324982,processed_data/automated_image_analysis/manual_rescue/masks_original_resolution/Dendrodoris_krusensternii_denisoni/Dendrodoris_krusensternii_denisoni_img01_manual_rescue_mask.png,processed_data/automated_image_analysis/manual_rescue/qc/Dendrodoris_krusensternii_denisoni/Dendrodoris_krusensternii_denisoni_img01_manual_rescue_qc.png
Dendrodoris krusensternii (=denisoni),Dendrodoris_krusensternii_denisoni_img02,accepted,1,1055.7977528811152,906.3213948455852,500.74173440310585,992.4793439824703,2079.8073422908783,processed_data/automated_image_analysis/manual_rescue/masks_original_resolution/Dendrodoris_krusensternii_denisoni/Dendrodoris_krusensternii_denisoni_img02_manual_rescue_mask.png,processed_data/automated_image_analysis/manual_rescue/qc/Dendrodoris_krusensternii_denisoni/Dendrodoris_krusensternii_denisoni_img02_manual_rescue_qc.png
Dendrodoris krusensternii (=denisoni),Dendrodoris_krusensternii_denisoni_img03,accepted,1,1257.1824875273633,1496.1719697057981,254.76788699245094,480.5023000729034,4483.594472885132,processed_data/automated_image_analysis/manual_rescue/masks_original_resolution/Dendrodoris_krusensternii_denisoni/Dendrodoris_krusensternii_denisoni_img03_manual_rescue_mask.png,processed_data/automated_image_analysis/manual_rescue/qc/Dendrodoris_krusensternii_denisoni/Dendrodoris_krusensternii_denisoni_img03_manual_rescue_qc.png
Dendrodoris nigra,Dendrodoris_nigra_img01,accepted,1,641.5768435691679,296.58821633839875,810.5789745684423,1797.7247916848958,4666.786255836487,processed_data/automated_image_analysis/manual_rescue/masks_original_resolution/Dendrodoris_nigra/Dendrodoris_nigra_img01_manual_rescue_mask.png,processed_data/automated_image_analysis/manual_rescue/qc/Dendrodoris_nigra/Dendrodoris_nigra_img01_manual_rescue_qc.png
Dendrodoris nigra,Dendrodoris_nigra_img02,accepted,1,399.67183253099086,1370.248813274966,1093.906076537814,990.8224603452225,2592.639941930771,processed_data/automated_image_analysis/manual_rescue/masks_original_resolution/Dendrodoris_nigra/Dendrodoris_nigra_img02_manual_rescue_mask.png,processed_data/automated_image_analysis/manual_rescue/qc/Dendrodoris_nigra/Dendrodoris_nigra_img02_manual_rescue_qc.png
Dendrodoris nigra,Dendrodoris_nigra_img04,accepted,1,432.852830989236,900.2814070443787,1416.4562274322125,591.0103021208781,3542.664326906204,processed_data/automated_image_analysis/manual_rescue/masks_original_resolution/Dendrodoris_nigra/Dendrodoris_nigra_img04_manual_rescue_mask.png,processed_data/automated_image_analysis/manual_rescue/qc/Dendrodoris_nigra/Dendrodoris_nigra_img04_manual_rescue_qc.png
Dendrodoris nigra,Dendrodoris_nigra_img05,accepted,1,743.5966126656848,851.7310382916052,1632.7724594992637,503.0582842415315,3367.784168481827,processed_data/automated_image_analysis/manual_rescue/masks_original_resolution/Dendrodoris_nigra/Dendrodoris_nigra_img05_manual_rescue_mask.png,processed_data/automated_image_analysis/manual_rescue/qc/Dendrodoris_nigra/Dendrodoris_nigra_img05_manual_rescue_qc.png
Dendrodoris nigra,Dendrodoris_nigra_img06,accepted,1,1526.877105890063,1138.7838937814681,480.49845720313897,727.8638073406005,2903.267357468605,processed_data/automated_image_analysis/manual_rescue/masks_original_resolution/Dendrodoris_nigra/Dendrodoris_nigra_img06_manual_rescue_mask.png,processed_data/automated_image_analysis/manual_rescue/qc/Dendrodoris_nigra/Dendrodoris_nigra_img06_manual_rescue_qc.png
Dendrodoris nigra,Dendrodoris_nigra_img07,accepted,1,381.9140607665418,267.18526284803625,1307.3017198121536,1182.870298994087,6656.850514769554,processed_data/automated_image_analysis/manual_rescue/masks_original_resolution/Dendrodoris_nigra/Dendrodoris_nigra_img07_manual_rescue_mask.png,processed_data/automated_image_analysis/manual_rescue/qc/Dendrodoris_nigra/Dendrodoris_nigra_img07_manual_rescue_qc.png
Dendrodoris nigra,Dendrodoris_nigra_img08,accepted,1,313.7123853148495,927.8608821298064,1027.8292329686465,1187.9916131777095,2708.2753781080246,processed_data/automated_image_analysis/manual_rescue/masks_original_resolution/Dendrodoris_nigra/Dendrodoris_nigra_img08_manual_rescue_mask.png,processed_data/automated_image_analysis/manual_rescue/qc/Dendrodoris_nigra/Dendrodoris_nigra_img08_manual_rescue_qc.png
Dendrodoris nigra,Dendrodoris_nigra_img09,accepted,1,689.3050073637702,737.1683357879234,1392.6829160530192,540.5120765832106,2266.653011918068,processed_data/automated_image_analysis/manual_rescue/masks_original_resolution/Dendrodoris_nigra/Dendrodoris_nigra_img09_manual_rescue_mask.png,processed_data/automated_image_analysis/manual_rescue/qc/Dendrodoris_nigra/Dendrodoris_nigra_img09_manual_rescue_qc.png
Dendrodoris nigra,Dendrodoris_nigra_img10,accepted,1,719.4503745198139,1810.979860782878,803.9514400194511,210.43026720151374,5149.455306053162,processed_data/automated_image_analysis/manual_rescue/masks_original_resolution/Dendrodoris_nigra/Dendrodoris_nigra_img10_manual_rescue_mask.png,processed_data/automated_image_analysis/manual_rescue/qc/Dendrodoris_nigra/Dendrodoris_nigra_img10_manual_rescue_qc.png
Dendrodoris tuberculosa,Dendrodoris_tuberculosa_img01,accepted,1,732.4213130131759,352.08321321919334,1736.642783117719,1296.8761180639267,6136.135661482811,processed_data/automated_image_analysis/manual_rescue/masks_original_resolution/Dendrodoris_tuberculosa/Dendrodoris_tuberculosa_img01_manual_rescue_mask.png,processed_data/automated_image_analysis/manual_rescue/qc/Dendrodoris_tuberculosa/Dendrodoris_tuberculosa_img01_manual_rescue_qc.png
