 ,Label,Area,Mean,StdDev,Min,Max,Median
1,Aphelodoris_varia_img10.jpg (blue):nudibranch,99601,67.151,51.320,0,246,46
2,Aphelodoris_varia_img10.jpg (blue):background,69596,63.490,28.548,0,202,62
3,Aphelodoris_varia_img10.jpg (green):nudibranch,99601,89.294,50.438,0,245,80
4,Aphelodoris_varia_img10.jpg (green):background,69596,89.571,31.613,0,203,93
5,Aphelodoris_varia_img10.jpg (red):nudibranch,99601,109.107,41.044,1,229,108
6,Aphelodoris_varia_img10.jpg (red):background,69596,100.432,29.918,0,224,102
7,Aphelodoris_varia_img10.jpg:nudibranch,99601,88.512,45.644,3,239,79
8,Aphelodoris_varia_img10.jpg:background,69596,84.499,27.375,0,195,86
9,Aphelodoris_varia_img10.jpg:nudibranch:Saturation,99601,122.732,58.562,0,255,143
10,Aphelodoris_varia_img10.jpg:background:Saturation,69596,99.751,45.271,0,255,88
11,Aphelodoris_varia_img10.jpg:nudibranch:Brightness,99601,112.641,42.433,4,246,111
12,Aphelodoris_varia_img10.jpg:background:Brightness,69596,103.728,29.984,1,224,105
