,animal_gray_sd,animal_saturation_sd,animal_edge_density,animal_luminance_edge_cv,animal_chromatic_edge_mean,animal_chromatic_edge_cv
animal_gray_sd,1.0,0.28796384278035364,0.2146023893528833,0.19774779918014093,0.31333553140400916,-0.0008410054588919754
animal_saturation_sd,0.28796384278035364,1.0,-0.3137136710363027,0.3915549382628346,0.6169562276438557,0.43878140985284747
animal_edge_density,0.2146023893528833,-0.3137136710363027,1.0,-0.692011855139184,0.1759126286169189,-0.7172129217026297
animal_luminance_edge_cv,0.19774779918014093,0.3915549382628346,-0.692011855139184,1.0,0.027871740175979914,0.796064059879398
animal_chromatic_edge_mean,0.31333553140400916,0.6169562276438557,0.1759126286169189,0.027871740175979914,1.0,-0.002408384511157615
animal_chromatic_edge_cv,-0.0008410054588919754,0.43878140985284747,-0.7172129217026297,0.796064059879398,-0.002408384511157615,1.0
