,gray_contrast_abs,saturation_contrast_abs,lab_colour_distance,luminance_edge_cv_difference,chromatic_edge_cv_difference,gray_sd_difference,saturation_sd_difference,edge_density_difference,chromatic_edge_mean_difference
gray_contrast_abs,1.0,0.18809679330161527,0.8829638663578463,0.26172625584525505,0.4187405477725659,0.30699120283192205,0.1635280774435057,-0.24259041330415743,-0.10412323204834975
saturation_contrast_abs,0.18809679330161527,1.0,0.3292304242941393,0.46133230572877687,0.35305324822398876,0.39980760825215855,0.3342843254189225,-0.4205315771819841,0.013045902765464678
lab_colour_distance,0.8829638663578463,0.3292304242941393,1.0,0.21998710433735366,0.3846027581367466,0.30126144227313395,0.17034851877721918,-0.39067935409332927,0.027092008990920145
luminance_edge_cv_difference,0.26172625584525505,0.46133230572877687,0.21998710433735366,1.0,0.703728150379889,0.47952271237987576,0.22305950177612777,-0.13078315452119968,-0.046597423588145996
chromatic_edge_cv_difference,0.4187405477725659,0.35305324822398876,0.3846027581367466,0.703728150379889,1.0,0.24604120953316141,0.3617824246591694,-0.2556768940945289,-0.18076401519799043
gray_sd_difference,0.30699120283192205,0.39980760825215855,0.30126144227313395,0.47952271237987576,0.24604120953316141,1.0,0.24352776780625018,-0.20258278589186474,0.003600075126936467
saturation_sd_difference,0.1635280774435057,0.3342843254189225,0.17034851877721918,0.22305950177612777,0.3617824246591694,0.24352776780625018,1.0,-0.24004333707083306,0.17679824567634472
edge_density_difference,-0.24259041330415743,-0.4205315771819841,-0.39067935409332927,-0.13078315452119968,-0.2556768940945289,-0.20258278589186474,-0.24004333707083306,1.0,0.15689643778243612
chromatic_edge_mean_difference,-0.10412323204834975,0.013045902765464678,0.027092008990920145,-0.046597423588145996,-0.18076401519799043,0.003600075126936467,0.17679824567634472,0.15689643778243612,1.0
