species,n_images,animal_gray_sd_z,animal_saturation_sd_z,animal_edge_density_z,animal_luminance_edge_cv_z,animal_chromatic_edge_mean_z,animal_chromatic_edge_cv_z,gray_contrast_abs_z,saturation_contrast_abs_z,lab_colour_distance_z,luminance_edge_cv_difference_z,chromatic_edge_cv_difference_z,gray_sd_difference_z,saturation_sd_difference_z,edge_density_difference_z,chromatic_edge_mean_difference_z
Aphelodoris varia,8,0.5949561182955705,0.1675533056806883,0.82465787325231,-0.8155334233585961,0.4718965555265152,-1.02420147936518,-0.0491133166376666,-1.743819393411439,-0.626670256455324,-0.7810611172131976,-0.8408630656874586,0.3136415048790327,-0.5764174777712184,0.0199515814282354,-0.5619670960697624
Ardeadoris egretta,10,-1.7345837395572516,-0.4239677160728229,-1.0116290410638502,1.2909056272642363,-0.9398661090168996,1.6488808591653343,1.7760204275811942,-0.7535596906520472,1.6443808400106616,0.8762749644048194,2.0970471679024034,-0.0753232931650755,0.0239020061441598,0.8406299625492315,-0.2172659506906529
Ardeadoris rubroannulata,10,-0.3571100966522129,0.6728298309777174,-0.1037180498528406,0.5345253605284751,1.5483402607833994,0.5246968892385819,1.1818490840090372,-0.1391112224019404,1.7741787459433356,-0.4169734173595439,-0.3103365928800585,0.1854229763264881,0.38491036221784,-0.6998786352219034,1.2975582965147556
Ceratosoma brevicaudatum,10,-0.9203062161742102,-0.1354414641939119,-0.0675206969780071,-0.6769955567667583,0.9102484560545984,-0.6216012169951469,0.1021117254239626,0.0300091979110185,0.6848783512900596,-0.7084266228942386,-0.8873362876507505,0.3228399067677113,-1.1026170338930783,-0.0728129822761836,0.7728627230150434
Ceratosoma trilobatum,10,-1.2859837643089065,-0.259303875791003,-0.9298749632069626,0.2950741615342389,0.5202196986628946,-0.2801342581604984,0.1435387030092884,0.6011017649150667,1.1477553611691085,0.1332638517800594,-0.5897671671351947,-1.329411380352147,-0.0965546617521565,-1.1513022181359691,0.9187883029522655
Chromodoris elisabethina,10,0.8929447873445915,1.196504201299169,0.046905075056087,0.595032498269032,2.2054573377055067,-0.0679667205233176,-0.8971267542971737,0.3091569442477144,-0.7955136519254524,0.673639626227483,0.40903841629191,-0.058478048025628,0.0750960709349681,0.1707136365971045,2.167325552276509
Chromodoris kuiteri,10,0.9169585250794204,1.7532818948381252,-0.2970452194991679,0.8957335542074867,0.4759702440994284,0.938398718074934,-1.340704419001071,0.8966350549951686,-1.5368112278015609,1.4314389940276109,0.991476892128102,0.3027945299916294,1.051181594833141,-0.4964158831454744,-0.1065774188394203
Dendrodoris krusensternii (=denisoni),10,0.3766035638624603,-1.019077249659395,1.3505967794315985,-1.1223491333435545,-1.171752561141579,-1.6044839691638466,-1.3551755175321505,-1.1584994861497526,-1.431490954393152,-1.225391284729174,-1.7325246291778154,-1.6628683517544465,-0.4021619286327803,0.5667183615766315,-0.8688491522079109
Dendrodoris nigra,10,-2.315017863691934,-1.227689214775549,-0.7820953543430662,0.2103191635887869,-1.8984246364100528,-1.0131490602654485,1.2743117316673411,-0.3487368245592613,1.1051735365025628,0.3353657894050416,-0.7569736593381465,2.337588775250945,-0.7966676655088655,-0.1526035285016001,-0.9863800016802402
Dendrodoris tuberculosa,10,-0.7049435832002229,-1.6094828650533546,1.3137671952116492,-1.5431089020086226,-0.5470020921665695,-1.5437777034800977,-1.3677175381038584,-1.2783676003979243,-1.6660649561731504,-1.412856743172529,-1.4903993134339366,-1.9476661879988204,-1.7078257090354592,0.9477078948970856,-0.6565863607722995
Doriprismatica atromarginata,9,1.4389155855457043,-0.3679395938184517,-0.0310362080051035,1.681511671755152,-0.5130211977762925,0.6079660187054743,1.2055381019719955,2.085225888537912,0.8628520351480817,1.7170679496460337,0.2361982398837172,0.7184539059989218,-0.4548725645916472,-0.159102648236731,-0.1012617405707482
Glossodoris hikuerensis,10,-0.393859340730856,-0.8663022642346112,3.018658775591984,-2.0093898427619807,0.7925033840774616,-1.2987338519729752,0.1840816133780915,-0.3740699016828404,-0.2836431854446274,-0.548303944586961,-0.8920523092185064,-0.7297529500312316,-0.6305770950226234,3.729000042251537,0.5984854952702502
Goniobranchus collingwoodi,10,0.1766177018231151,0.312780472022828,-0.1820517439357324,-0.262141582039364,0.5725545432063525,-0.4177223741225631,0.8798263581575934,-1.1779294362881063,0.5712155240031564,-1.43545683124903,-1.2231475043997244,0.2531081809230639,-0.539161530275858,-0.1018267693245673,1.1457669372414665
Goniobranchus daphne,10,-0.4914866026431612,-0.3117380225764759,-0.8146150692254246,0.4048146025912519,-1.0394103269374506,0.6455589690013468,1.0268958020407262,-0.1528925166606866,0.4132933140198455,1.4718586888201666,1.1990999320872984,-0.0059031306288785,-0.1347084549799379,-0.9892947854682738,-1.3360564051128423
Goniobranchus splendidus,10,0.5493487690037338,1.0084438102987647,-0.5179463724834549,1.0375987052903914,-0.4025661135100291,1.2038280971109132,0.4691590529748078,-0.6418795370082456,-0.0545696125255513,1.4065951798256653,1.315000941966621,0.0377476895661802,1.0589922744298594,-0.2067075144891305,-0.94271810539961
Goniobranchus tasmaniensis,10,-0.9530173187176552,0.510480977523635,-0.9558474524767752,0.4104725975444055,-0.7695611846687609,1.5829729600548978,1.8159090967309317,1.4793607213505886,1.5784480225624289,-0.8132706595017462,0.6713131324543593,0.1392681763238528,3.5179699074054622,-1.3057335487584971,-0.4928116771516037
Goniobranchus tinctorius,9,-0.1824302600206906,0.3437140534688334,1.038058085905348,-1.0596129179253344,1.4375217228263308,-1.1570401722923185,0.1164472545319658,-0.8883271408455903,-0.1786403930962664,-0.7267965894349346,-0.7396310882984108,-1.303553762528766,-0.140697923152846,0.5989420821713404,1.805217852902811
Halgerda aurantiomaculata,10,-1.5896962870951346,1.8751792134311016,-0.9994643197719087,0.0768740384457653,0.6098946886118488,1.2892891376821396,-0.1311288838902772,-0.8691743829269938,-0.4611541647646691,0.2965057417261767,0.73013740978497,0.5325044756392158,0.6026884543632661,0.7151505663926273,0.0829331630691925
Hypselodoris bennetti,10,-0.0194808316973256,-0.0294807478752892,-0.7372112763611003,0.1914519553505849,-0.0462924691341771,1.200526970447093,0.4574952133621256,0.1347867268705912,0.5462319312243255,0.1008933498621832,1.8768122951563195,-0.9815683226684956,-0.6675732334391573,-0.7724680377159111,0.0907450318975976
Hypselodoris obscura,10,-0.0022349152856158,0.5819539575881065,-0.3992425903922878,-0.5931612630948409,0.5954104063168711,-0.2385510122165171,-1.0034346389056723,-0.1819678766762401,-0.5086731249905961,-1.0956651311128998,-0.4002637041300124,0.0244729350214633,0.4159688482935227,-0.8708498735873669,0.8367144912268699
Hypselodoris tryoni,10,0.9492415150565098,-0.3530665687471228,-0.5726814912354182,1.584974558853391,-0.5529973493737296,1.0658604091624715,0.5045502161696299,0.3950030747575655,0.0446543729834394,1.3860691597890114,0.6624872739741087,1.2431910004848357,-0.6213051330599859,0.0478890713465755,-0.9834804494865106
Mexichromis festiva,10,-0.502064317462624,-0.57740299372143,-1.0132015448021163,0.0101235878565442,-1.1449804866429871,0.5753128069551542,1.5021186778461515,1.5190219710731858,1.1883698776029907,0.181608646765075,1.260879139887061,0.5499008720861054,-0.2308708951358609,-1.1297372551313276,-1.3053192720316142
Notodoris (=Aegires) gardineri,10,0.8938411538164387,-0.8912695929139004,-0.3220944094097496,1.3277881570292691,0.5697183381176888,1.126305968643237,-0.6558934618625513,1.9483637813174963,0.6186722793655806,1.2471080819615012,0.9987236706599584,1.4075591707235868,0.4021466393183723,0.0429015960012783,-0.0447062137538296
Phyllidia coelestis,10,0.8444016595966357,0.6547538451479172,0.925922001284268,-0.4663977817444779,0.0272147043253037,-0.0758820494766521,-1.0070323658154343,-0.4310132582165767,-0.6811205528037245,-0.8598554684876807,-0.181221372228856,-0.135625239163103,0.1859903785934824,0.5954352563714874,-0.2183879417066528
Phyllidia elegans,10,0.1792983028644354,-1.44336254120241,-0.2047764079075355,-1.1960651171573753,-0.9700633895370154,-0.227513849327243,-0.7930957019192272,1.4137626514078714,-0.776125344812705,-0.8393818544647135,-0.9075222153892007,-0.673867554694853,-0.7489786696301036,-0.8053832494422194,-0.7856556703914626
Phyllidia ocellata,10,1.0843655448359877,1.894266361660798,0.0184259793357462,0.2967958131926747,1.0764131663844023,-0.0460120560341467,-0.5805846624740778,0.1190669446899772,-0.571428159122398,0.7600489528363105,-0.0056847746281996,0.2291847259143855,2.111497825887775,0.6779855825823482,1.3082416477116146
Phyllidia varicosa,10,2.181070107491395,1.0964380660056292,0.2063823125062462,0.7963150760236843,1.1220198085368045,-0.1843670724830217,-0.9949066188485486,0.8389883431473762,-1.1320417613060536,0.6751100984412407,-0.5347978716399501,2.0610304612385866,0.5441945510443693,0.147338837894351,1.4143917991763086
Phyllidiella pustulosa,10,0.6580122549600338,-0.3407329387282892,-0.4769426878890017,-0.9249847861869966,-0.9896040226547622,-0.945882217730261,-0.6591900569350851,0.0221110428950639,-0.1164970230105855,-1.2509884787912622,-0.7544473252884573,0.2299553416833141,-0.0494113341771178,-0.9885803493029136,-1.1243632427830057
Phyllidiopsis shireenae,10,-0.143670355604143,-0.34357252289834,-0.6388852012173862,0.7724292662573979,-0.9549123933902844,0.0098293408060261,-0.4400154598020546,-0.3864277270657818,0.295040949311117,0.4703633527736679,0.2394746180847449,-0.7031533771282618,-0.6438008794741987,-0.5981388292643371,-0.4648508745917231
Sebadoris fragilis,9,-0.1406900967340935,-1.8683498176809508,2.3145060224816545,-1.7430000891949025,-0.9949289828748296,-1.672408081438373,-1.3647336628299849,-1.2668181131731806,-1.654700772510886,-1.048784285294151,-0.4407202497368935,-1.2814930306795884,-0.8303367239333338,1.400471635942571,-1.2417937200147966
