 ,Label,Area,Mean,StdDev,Min,Max,Median
1,Aphelodoris_varia_img09.jpg:nudibranch,111541,127.879,64.338,6,255,113
2,Aphelodoris_varia_img09.jpg:background,163394,115.922,32.177,1,249,116
3,Aphelodoris_varia_img09.jpg (blue):nudibranch,111541,97.581,73.979,0,255,70
4,Aphelodoris_varia_img09.jpg (blue):background,163394,88.306,34.514,0,239,90
5,Aphelodoris_varia_img09.jpg (green):nudibranch,111541,129.703,70.874,1,255,116
6,Aphelodoris_varia_img09.jpg (green):background,163394,127.130,33.920,2,255,129
7,Aphelodoris_varia_img09.jpg (red):nudibranch,111541,156.365,54.893,13,255,155
8,Aphelodoris_varia_img09.jpg (red):background,163394,132.331,39.458,0,255,129
9,Aphelodoris_varia_img09.jpg:nudibranch:Saturation,111541,118.761,65.307,0,255,130
10,Aphelodoris_varia_img09.jpg:background:Saturation,163394,104.168,40.302,2,255,97
11,Aphelodoris_varia_img09.jpg:nudibranch:Brightness,111541,160.653,57.526,16,255,158
12,Aphelodoris_varia_img09.jpg:background:Brightness,163394,142.855,35.258,3,255,143
